ARS WIOA Employer Penetration - Core Business Services - Program Year (PY) 2017,,,,
Total Number of Businesses Served:,438,,,
,,,,
Primary Business Name,Secondary Business Name,Address,City,Zip
Abermarle,,2270 US-79,Magnolia,71753
ABF Freight,"Roger Tatum, Regional Administrative Coordinator",3100 Springhill Dr.,North Little Rock,72117
Absolute Care,,2620 W. 28th Ave,Pine Bluff,71603
Absolute Care Management Corp,,PO Box 228 ,McCrory,72101
ACAP/TJ Maxx,DeAnna Tracy/Yolanda Nelson,1835 N West Ave,El Dorado,71730
Adams Fertilizer Equipment,,1503 South Whitehead Dr.,DeWitt,72042
ADWS,RESEA ,104 S. Rochester Ave.,Russellville,72801
ADWS,,2 Capitol Mall,Little Rock,72201
Alert Alarm,,1118 S Greenwood Rd,Fort Smith,72901
Alford Dentistry,,3812 Central Ave,Hot Springs,71913
All Creatures Animal Hospital ,,4799 Central Avenue,Hot Springs,71093
Allcare ,,518 Clay St,Arkadelphia,71923
Alma Health & Rehabilitation,,401 Heather Lane,Alma,72921
AmBetter of Arkansas Health and Wellness,,P.O. Box 25538,Little Rock,72212
Amfuel,,601 Firestone Dr,Magnolia,71753
AMI Radio,,1323 College Dr.,"Texarkana,TX",75503
Andy's Frozen Custard,,,Jonesboro,
AOG,,15 N 12 th Street,Fort Smith,72901
AR Blue Cross Blue Shield,,509 Mallard Loop,Pine Bluff,71603
AR Children's Hospital,,1 Children's Way,Little Rock,72202
AR Convalescent,,6301 S. Hazel,Pine Bluff,71603
AR Dept. of Career Education,ARS,1010 N. Arkansas Ave.,Russellville,72801
AR Dept. of Community Corrections,"Kenyetta Gentry, Director",345 Keller St.,Ashdown,71822
Ar. House of Representatives,,"275 Community Drive, ",Batesville ,72501
ARBLN Board,,2200 Don Tyson Parkway,Springdale,72762
Arby's,,5507 S. Olive St,Pine Bluff,71603
ArcBest,,3801 Old Greenwood ,Fort Smith,72903
Area Agency on Aging ,,,NWA,
Area Agency on Aging ,,,Fayetteville,
Area Agency on Aging of Western AR,,524 Garrison Ave,Fort Smith,72901
Arkansas Blue Cross and Blue Shield,,601 S. Gaines Street,Little Rock,72203
Arkansas Children’s Hospital/Eva Rogers,,1 Children’s Way,Little Rock,72202
Arkansas Department of Corrections,,2400 State Farm Road,Tucker,72168
Arkansas Department of Corrections,,2403 East Harding Ave,Pine Bluff,71601
Arkansas Department of Corrections,,2400 State Farm Road,Tucker,72168
Arkansas Department of Workforce Services,,104 S. Rochester Ave.,Russellville,72801
Arkansas Department of Workforce Services,,2311 E. Nettleton Ave,Jonesboro,72401
Arkansas Department of Workforce Services,,1001 Tennessee St,Pine Bluff,71601
Arkansas Department of Workforce Services,,3901 S. University Avenue,Little Rock,72204
Arkansas Economic Development Commission ,,,NWA,
Arkansas State Chamber of Commerce,,1200 W Capitol Ave,Little Rock,72201
Arkansas Support Network,,6836 Isaac's Rd  ,Springdale ,72762
Arkansas Workforce Center,Southeast Arkansas Economic Development District,1001 Tennessee St.,Pine Bluff,71601
ArkStart,,,Fayetteville,
Arlington Resort Hotel and Spa ,,239 Central Avenue,Hot Springs,71901
Arvest Bank,,,NWA,
Arvest Bank,,,NWA,
Ashdown School District,"Jason Sanders, Superintendent",751 Rankin St.,Ashdown,71822
At Your Service,,1506 Vine Ave,Magnolia,71753
Atrium at Sernity Point,,2803 Albert Pike Road,Hot Springs,71913
Atwoods,,2004 Albert Pike,Hot Springs,71913
Atwoods,,1270 US-278,Camden,71701
Atwoods,,1629 E Main St,Magnolia,71753
Atwoods,Barbara O'Guinn,201 S. Hervey,Hope,71802
Atwoods,,2004 Albert Pike Road,Hot Springs,71902
BancorpSouth,"Debbie Pounds, Manager",611 E. Wood,Ashdown,71822
BancorpSouth,,1222 Rogers Ave,Fort Smith,72901
Bank of England,,1320 Rebsamen Park Rd,Little Rock ,72202
Bank of The Ozark,,1412 Main St,Van Buren,72956
Bank of The Ozark,,601 W Commercial St,Ozark,72949
Baptist Health,,9601 Baptist Health Dr,Little Rock ,72205
Baymont Inn & Suites,"Cynthia Broomhill, Manager",5102 Stateline Ave.,"Texarkana, AR",71854
Belleview Estates,,1052 Old Warren Rd,Monticello,71655
Benton Utilities,, 1827 Dale Avenue ,Benton,72015
Best Buy,,4195 Phoenix Ave,Fort Smith,72901
Best Buy ,,1462 Higdon Ferry Road,Hot Springs,71903
Birch Tree Communities,Conway/LR/Clarksville/R'ville,,,
Bismarck School Dist,,11636 AR-84,Bismarck,71929
Blaylock Heating and Air,,1900 O N Street,Fort Smith,72901
Boys&Girls Club/Saline County,, 105 Cox Street ,Benton,72015
